date,close_eur,close_usd,close_gld,sma50d_eur,sma200d_eur,sma200w_eur,sma200w_factor_eur,sma50d_usd,sma200d_usd,sma200w_usd,sma200w_factor_usd,sma50d_gld,sma200d_gld,sma200w_gld,sma200w_factor_gld,powerlaw_q01_eur,powerlaw_q50_eur,powerlaw_q99_eur,powerlaw_factor_eur,powerlaw_q01_usd,powerlaw_q50_usd,powerlaw_q99_usd,powerlaw_factor_usd
2013-02-22,22.94,30.30,0.019160237764006577,15.17,10.82,,,19.75,13.87,,,0.01195036,0.00823589,,,11.30,22.95,281.15,0.04313508,13.69,28.55,406.86,0.04224636
2013-02-23,22.59,29.80,0.019160237764006577,15.42,10.89,,,20.07,13.96,,,0.01217057,0.00829726,,,11.34,23.04,282.04,0.04155892,13.75,28.66,408.09,0.04070092
2013-02-24,22.93,29.90,0.019160237764006577,15.67,10.96,,,20.40,14.06,,,0.01239077,0.00835864,,,11.39,23.13,282.93,0.04249834,13.80,28.77,409.33,0.04070488
2013-02-25,23.26,30.40,0.019068527520777794,15.93,11.03,,,20.74,14.15,,,0.01260915,0.00841967,,,11.43,23.22,283.82,0.04343038,13.85,28.88,410.58,0.04171603
2013-02-26,23.69,31.10,0.019267703364103838,16.19,11.10,,,21.09,14.25,,,0.01282940,0.00848083,,,11.48,23.31,284.72,0.04468599,13.91,28.99,411.82,0.04320072
2013-02-27,23.62,30.90,0.019353626456219467,16.45,11.17,,,21.44,14.35,,,0.01305143,0.00854243,,,11.52,23.40,285.62,0.04414447,13.96,29.10,413.07,0.04244444
2013-02-28,25.58,33.40,0.021143924287025606,16.75,11.26,,,21.83,14.46,,,0.01330784,0.00861297,,,11.57,23.49,286.52,0.05095472,14.01,29.22,414.32,0.04843746
2013-03-01,26.00,34.50,0.021874207456251585,17.05,11.34,,,22.24,14.57,,,0.01357691,0.00868509,,,11.61,23.59,287.42,0.05217360,14.07,29.33,415.58,0.05088292
2013-03-02,25.71,34.30,0.021874207456251585,17.35,11.42,,,22.64,14.68,,,0.01384473,0.00875632,,,11.66,23.68,288.33,0.05078252,14.12,29.44,416.83,0.05011050
2013-03-03,25.79,34.50,0.021874207456251585,17.64,11.49,,,23.05,14.79,,,0.01411255,0.00882422,,,11.71,23.77,289.23,0.05073508,14.18,29.55,418.09,0.05030824
2013-03-04,27.22,36.20,0.02299653781405838,17.96,11.57,,,23.49,14.90,,,0.01440281,0.00889740,,,11.75,23.87,290.14,0.05556952,14.23,29.67,419.36,0.05422951
2013-03-05,30.32,40.30,0.025584864933498392,18.35,11.68,,,24.01,15.04,,,0.01474298,0.00898943,,,11.80,23.96,291.06,0.06631813,14.29,29.78,420.62,0.06401201
2013-03-06,30.65,41.00,0.025873221216041395,18.73,11.78,,,24.54,15.19,,,0.01509017,0.00908291,,,11.84,24.05,291.97,0.06714740,14.34,29.90,421.89,0.06541529
2013-03-07,31.53,42.00,0.02660669601849799,19.13,11.91,,,25.09,15.36,,,0.01544729,0.00918006,,,11.89,24.15,292.89,0.06989324,14.40,30.01,423.17,0.06751963
2013-03-08,33.19,44.20,0.028003041054232135,19.55,12.04,,,25.66,15.53,,,0.01582365,0.00928892,,,11.94,24.24,293.81,0.07538936,14.45,30.13,424.44,0.07256275
2013-03-09,35.13,46.80,0.028003041054232135,20.01,12.17,,,26.28,15.72,,,0.01619735,0.00939871,,,11.98,24.33,294.73,0.08187445,14.51,30.24,425.72,0.07852435
2013-03-10,34.56,46.00,0.028003041054232135,20.46,12.30,,,26.89,15.90,,,0.01657106,0.00950911,,,12.03,24.43,295.65,0.07943728,14.56,30.36,427.00,0.07622927
2013-03-11,36.17,48.40,0.030591284012261792,20.93,12.44,,,27.55,16.09,,,0.01699653,0.00963191,,,12.08,24.52,296.58,0.08467487,14.62,30.48,428.29,0.08165929
2013-03-12,32.91,44.30,0.027805674114988698,21.33,12.57,,,28.10,16.26,,,0.01735384,0.00973920,,,12.13,24.62,297.51,0.07281519,14.68,30.59,429.57,0.07139242
2013-03-13,34.88,46.90,0.029512632539407856,21.75,12.70,,,28.69,16.44,,,0.01773966,0.00985503,,,12.17,24.72,298.44,0.07933070,14.73,30.71,430.86,0.07730757
2013-03-14,34.99,47.20,0.029669673445013676,22.18,12.83,,,29.28,16.62,,,0.01812528,0.00997164,,,12.22,24.81,299.37,0.07929653,14.79,30.83,432.16,0.07765292
2013-03-15,34.64,47.00,0.029509637722107112,22.61,12.96,,,29.88,16.80,,,0.01851284,0.01008646,,,12.27,24.91,300.30,0.07766552,14.85,30.94,433.45,0.07680363
2013-03-16,34.59,47.00,0.029509637722107112,23.03,13.09,,,30.48,16.98,,,0.01889327,0.01020131,,,12.32,25.01,301.24,0.07708016,14.90,31.06,434.75,0.07645588
2013-03-17,34.75,47.40,0.029509637722107112,23.45,13.22,,,31.07,17.17,,,0.01927370,0.01031593,,,12.37,25.10,302.18,0.07722301,14.96,31.18,436.05,0.07703816
2013-03-18,38.21,51.60,0.03212551363466567,23.94,13.37,,,31.74,17.37,,,0.01970646,0.01044380,,,12.41,25.20,303.12,0.08874824,15.02,31.30,437.36,0.08661268
2013-03-19,43.51,59.10,0.036630717738936405,24.52,13.54,,,32.55,17.61,,,0.02021314,0.01059679,,,12.46,25.30,304.07,0.10647783,15.07,31.42,438.67,0.10394240
2013-03-20,47.71,64.50,0.040149393090569564,25.18,13.74,,,33.45,17.89,,,0.02078170,0.01076739,,,12.51,25.40,305.01,0.12034188,15.13,31.54,439.98,0.11620572
2013-03-21,52.86,70.80,0.04381594826252437,25.93,13.97,,,34.47,18.19,,,0.02142301,0.01095631,,,12.56,25.49,305.96,0.13735515,15.19,31.66,441.30,0.13050621
2013-03-22,52.30,69.90,0.04346068952653341,26.66,14.19,,,35.46,18.49,,,0.02204699,0.01114259,,,12.61,25.59,306.91,0.13486239,15.25,31.78,442.61,0.12787814
2013-03-23,47.98,64.30,0.04346068952653341,27.31,14.39,,,36.34,18.76,,,0.02267037,0.01132924,,,12.66,25.69,307.87,0.11964364,15.30,31.90,443.93,0.11431771
2013-03-24,53.15,71.50,0.04346068952653341,28.07,14.61,,,37.38,19.06,,,0.02329375,0.01151407,,,12.71,25.79,308.82,0.13657087,15.36,32.02,445.26,0.13058851
2013-03-25,54.73,73.60,0.045882426282650705,28.85,14.84,,,38.44,19.37,,,0.02396557,0.01171057,,,12.76,25.89,309.78,0.14130362,15.42,32.14,446.59,0.13493518
2013-03-26,58.77,78.50,0.04904564056105714,29.71,15.09,,,39.60,19.71,,,0.02470283,0.01192411,,,12.81,25.99,310.74,0.15426442,15.48,32.27,447.92,0.14573120
2013-03-27,66.53,88.90,0.05537733204597129,30.72,15.38,,,40.96,20.10,,,0.02556412,0.01216931,,,12.85,26.09,311.71,0.17961587,15.54,32.39,449.25,0.16914528
2013-03-28,64.55,86.20,0.05398465633317677,31.69,15.66,,,42.26,20.47,,,0.02639109,0.01240755,,,12.90,26.19,312.67,0.17229876,15.60,32.51,450.58,0.16230631
2013-03-29,67.61,90.50,0.05398465633317677,32.70,15.96,,,43.63,20.87,,,0.02720625,0.01264505,,,12.95,26.29,313.64,0.18178190,15.66,32.63,451.92,0.17154908
2013-03-30,69.39,92.20,0.05398465633317677,33.74,16.26,,,45.02,21.28,,,0.02801365,0.01288250,,,13.01,26.39,314.61,0.18693634,15.72,32.76,453.27,0.17479145
2013-03-31,70.49,93.00,0.05398465633317677,34.79,16.57,,,46.41,21.68,,,0.02882105,0.01311951,,,13.06,26.49,315.58,0.18983869,15.78,32.88,454.61,0.17596791
2013-04-01,78.84,104.00,0.06504268426154663,36.00,16.92,,,48.01,22.15,,,0.02984961,0.01341248,,,13.11,26.60,316.56,0.21660900,15.84,33.01,455.96,0.20030901
2013-04-02,90.39,118.00,0.07486834591713724,37.43,17.32,,,49.88,22.68,,,0.03104853,0.01375381,,,13.16,26.70,317.53,0.25373723,15.90,33.13,457.31,0.23130423
2013-04-03,103.33,135.00,0.08665511265164644,39.12,17.79,,,52.07,23.29,,,0.03247649,0.01415406,,,13.21,26.80,318.51,0.29518506,15.96,33.26,458.67,0.26888934
2013-04-04,100.56,132.10,0.08502284868378708,40.76,18.25,,,54.23,23.90,,,0.03388232,0.01454615,,,13.26,26.90,319.50,0.28507053,16.02,33.38,460.03,0.26143555
2013-04-05,108.89,142.30,0.08995227409210152,42.53,18.75,,,56.53,24.55,,,0.03534849,0.01496216,,,13.31,27.01,320.48,0.31116320,16.08,33.51,461.39,0.28344299
2013-04-06,109.53,142.60,0.08995227409210152,44.31,19.25,,,58.84,25.20,,,0.03681088,0.01537720,,,13.36,27.11,321.47,0.31212879,16.14,33.63,462.75,0.28315533
2013-04-07,124.60,162.30,0.08995227409210152,46.39,19.82,,,61.55,25.95,,,0.03827326,0.01579137,,,13.41,27.21,322.46,0.35977997,16.20,33.76,464.12,0.32617432
2013-04-08,143.72,187.50,0.11921035063737802,48.86,20.49,,,64.76,26.82,,,0.04032082,0.01635265,,,13.46,27.32,323.45,0.42020710,16.26,33.89,465.49,0.38118558
2013-04-09,177.22,230.00,0.1451012554412971,51.99,21.33,,,68.82,27.91,,,0.04288752,0.01704318,,,13.52,27.42,324.44,0.52650199,16.32,34.01,466.87,0.47426479
2013-04-10,125.90,165.00,0.10587102983638114,54.07,21.91,,,71.53,28.68,,,0.04463854,0.01753757,,,13.57,27.53,325.44,0.36018213,16.38,34.14,468.24,0.32890718
2013-04-11,96.03,124.90,0.07999231458947098,55.54,22.35,,,73.44,29.24,,,0.04585969,0.01790256,,,13.62,27.63,326.44,0.26344224,16.44,34.27,469.62,0.23933095
2013-04-12,89.76,117.00,0.07911820394914797,56.88,22.75,,,75.18,29.76,,,0.04706405,0.01826391,,,13.67,27.74,327.44,0.24250247,16.50,34.40,471.01,0.22111725
2013-04-13,71.38,93.00,0.07911820394914797,57.85,23.06,,,76.44,30.17,,,0.04826321,0.01862483,,,13.72,27.84,328.44,0.18321047,16.57,34.53,472.39,0.16767584
2013-04-14,69.46,90.00,0.07911820394914797,58.79,23.36,,,77.64,30.56,,,0.04946237,0.01898537,,,13.78,27.95,329.45,0.17638673,16.63,34.66,473.78,0.16049437
2013-04-15,63.32,82.40,0.06093998446917871,59.60,23.62,,,78.69,30.91,,,0.05029796,0.01925546,,,13.83,28.06,330.46,0.15630231,16.69,34.79,475.18,0.14331828
2013-04-16,52.31,68.40,0.049952530490031406,60.18,23.84,,,79.45,31.19,,,0.05091564,0.01947023,,,13.88,28.16,331.47,0.12100507,16.75,34.92,476.57,0.11232656
2013-04-17,71.93,93.10,0.06761074800290486,61.14,24.15,,,80.69,31.59,,,0.05188250,0.01977329,,,13.94,28.27,332.48,0.18204935,16.82,35.05,477.97,0.16541256
2013-04-18,84.77,109.00,0.07834117943004995,62.37,24.52,,,82.25,32.07,,,0.05306225,0.02013000,,,13.99,28.38,333.50,0.22152671,16.88,35.18,479.37,0.19918269
2013-04-19,91.63,118.50,0.08438367870113224,63.69,24.94,,,83.95,32.60,,,0.05432705,0.02051695,,,14.04,28.49,334.51,0.24211315,16.94,35.31,480.78,0.21895481
2013-04-20,98.15,126.60,0.08438367870113224,65.13,25.38,,,85.80,33.17,,,0.05557724,0.02090282,,,14.10,28.59,335.54,0.26147959,17.01,35.44,482.19,0.23558622
2013-04-21,91.74,119.20,0.08438367870113224,66.45,25.79,,,87.49,33.70,,,0.05682743,0.02128848,,,14.15,28.70,336.56,0.24065631,17.07,35.57,483.60,0.21891411
2013-04-22,99.07,127.40,0.08930949877322117,67.92,26.23,,,89.35,34.28,,,0.05817613,0.02169912,,,14.20,28.81,337.58,0.26244666,17.13,35.71,485.02,0.23567505
2013-04-23,111.55,143.50,0.10151386530843237,69.60,26.74,,,91.50,34.93,,,0.05974648,0.02217103,,,14.26,28.92,338.61,0.29995375,17.20,35.84,486.44,0.26915864
2013-04-24,120.67,154.20,0.10773046424703951,71.41,27.30,,,93.78,35.64,,,0.06138939,0.02267403,,,14.31,29.03,339.64,0.32692958,17.26,35.97,487.86,0.29099023
2013-04-25,110.57,141.70,0.09653903801607848,73.01,27.80,,,95.79,36.29,,,0.06280271,0.02312107,,,14.37,29.14,340.68,0.29481168,17.33,36.11,489.28,0.26352368
2013-04-26,106.78,136.90,0.0935780443624184,74.51,28.29,,,97.69,36.91,,,0.06414213,0.02355573,,,14.42,29.25,341.71,0.28219622,17.39,36.24,490.71,0.25249303
2013-04-27,99.66,128.00,0.0935780443624184,75.84,28.74,,,99.36,37.49,,,0.06545363,0.02398989,,,14.48,29.36,342.75,0.25948152,17.46,36.38,492.14,0.23287267
2013-04-28,104.82,134.40,0.0935780443624184,77.24,29.22,,,101.12,38.11,,,0.06676513,0.02442346,,,14.53,29.47,343.79,0.27422098,17.52,36.51,493.58,0.24551527
2013-04-29,112.12,144.00,0.09751472878716055,78.79,29.74,,,103.08,38.77,,,0.06815537,0.02487709,,,14.59,29.58,344.83,0.29533067,17.59,36.65,495.02,0.26477180
2013-04-30,107.63,139.20,0.09423871098774626,80.22,30.23,,,104.89,39.40,,,0.06942832,0.02531408,,,14.64,29.69,345.88,0.28073300,17.65,36.78,496.46,0.25385852
2013-05-01,89.59,116.40,0.07982991564364585,81.35,30.63,,,106.33,39.92,,,0.07046880,0.02567902,,,14.70,29.81,346.93,0.22541613,17.72,36.92,497.90,0.20550627
2013-05-02,81.65,106.30,0.07242377789133027,82.29,30.99,,,107.52,40.40,,,0.07132702,0.02600694,,,14.75,29.92,347.98,0.20076224,17.78,37.06,499.35,0.18381544
